用户id,5601456932
用户昵称,Rabbit每日爆料
用户性别,男
微博数,23852
粉丝数,3373669
关注数,74
用户主页URL,https://m.weibo.cn/u/5601456932?uid=5601456932&luicode=10000011&lfid=1005055601456932
用户头像URL,"https://tvax3.sinaimg.cn/crop.0.0.750.750.180/006758Pyly8fg6x9s2jhtj30ku0ku74m.jpg?KID=imgbed,tva&Expires=1577439707&ssig=3VHs%2BWn0L5"
用户头像大图URL,https://wx3.sinaimg.cn/orj480/006758Pyly8fg6x9s2jhtj30ku0ku74m.jpg
用户简介,"说一些你想知道的,知名娱乐博主 微博娱评团成员 微博2018十大影响力娱乐博主"
