用户id,2438867634
用户昵称,万事屋纸纸酱
用户性别,男
微博数,39742
粉丝数,6240840
关注数,998
用户主页URL,https://m.weibo.cn/u/2438867634?uid=2438867634&luicode=10000011&lfid=1005052438867634
用户头像URL,"https://tva4.sinaimg.cn/crop.0.0.750.750.180/915e2ab2jw8fbav3igbxzj20ku0kujsa.jpg?KID=imgbed,tva&Expires=1577439515&ssig=RBesbD8Ead"
用户头像大图URL,https://ww4.sinaimg.cn/orj480/915e2ab2jw8fbav3igbxzj20ku0kujsa.jpg
用户简介,"日常追剧 整理表情包合集 个人博 安利自己喜欢的东西,知名电视剧博主 知名动漫博主"
