用户id,1822398137
用户昵称,八鹅吃瓜酱
用户性别,女
微博数,11613
粉丝数,10451128
关注数,478
用户主页URL,https://m.weibo.cn/u/1822398137?uid=1822398137&luicode=10000011&lfid=1005051822398137
用户头像URL,"https://tvax4.sinaimg.cn/crop.109.22.194.194.180/6c9f96b9ly8fdostcu1p7j209q079q30.jpg?KID=imgbed,tva&Expires=1577440580&ssig=jH3KfufOwq"
用户头像大图URL,https://wx4.sinaimg.cn/orj480/6c9f96b9ly8fdostcu1p7j209q079q30.jpg
用户简介,"快落追星 吃瓜嗑爱豆,微博2019十大影响力娱乐大V 娱乐综艺视频自媒体"
