用户id,6363445910
用户昵称,瓜鹅子bot
用户性别,男
微博数,7212
粉丝数,3331504
关注数,117
用户主页URL,https://m.weibo.cn/u/6363445910?uid=6363445910&luicode=10000011&lfid=1005056363445910
用户头像URL,"https://tvax4.sinaimg.cn/crop.0.0.500.500.180/006WEmYmly8g4sm7vyqe5j30dw0dw47h.jpg?KID=imgbed,tva&Expires=1577439232&ssig=mYh9I19izg"
用户头像大图URL,https://wx4.sinaimg.cn/orj480/006WEmYmly8g4sm7vyqe5j30dw0dw47h.jpg
用户简介,"你想知道的小道消息，都在这里！杠精别关注！,知名电视剧博主"
