用户id,1195054531
用户昵称,博物杂志
用户性别,男
微博数,10946
粉丝数,11081348
关注数,147
用户主页URL,https://m.weibo.cn/u/1195054531?uid=1195054531&luicode=10000011&lfid=1005051195054531
用户头像URL,"https://tvax2.sinaimg.cn/crop.123.58.855.855.180/473b15c3ly1fu17ip7msrj20wm0wpn34.jpg?KID=imgbed,tva&Expires=1577440755&ssig=2rkJanZjuf"
用户头像大图URL,https://wx2.sinaimg.cn/orj480/473b15c3ly1fu17ip7msrj20wm0wpn34.jpg
用户简介,"我是博物学科普杂志，买杂志去报刊亭、邮局、天猫“中国国家地理旗舰店”，买博物文创去淘宝“博物小馆自然市集”,博物杂志官方微博"
