用户id,5179641859
用户昵称,超级美术生
用户性别,男
微博数,12018
粉丝数,1532901
关注数,29
用户主页URL,https://m.weibo.cn/u/5179641859?uid=5179641859&luicode=10000011&lfid=1005055179641859
用户头像URL,"https://tvax1.sinaimg.cn/crop.0.0.1500.1500.180/005ExfsDly8fnaam67086j315o15o75i.jpg?KID=imgbed,tva&Expires=1577441068&ssig=nTujfCCnft"
用户头像大图URL,https://wx1.sinaimg.cn/orj480/005ExfsDly8fnaam67086j315o15o75i.jpg
用户简介,"广告推广服务，www.chaojimeishu.com,请微信联系：chaojimeishusheng,知名教育博主 头条文章作者 微博签约自媒体"
