用户id,2803301701
用户昵称,人民日报
用户性别,男
微博数,107976
粉丝数,101730547
关注数,3024
用户主页URL,https://m.weibo.cn/u/2803301701?uid=2803301701&luicode=10000011&lfid=1005052803301701
用户头像URL,"https://tva1.sinaimg.cn/crop.0.3.1018.1018.180/a716fd45gw1ev7q2k8japj20sg0sg779.jpg?KID=imgbed,tva&Expires=1577116898&ssig=yO3WHqazYK"
用户头像大图URL,https://ww1.sinaimg.cn/orj480/a716fd45gw1ev7q2k8japj20sg0sg779.jpg
用户简介,"人民日报法人微博。参与、沟通、记录时代。,《人民日报》法人微博"
