用户id,5255814135
用户昵称,八组兔区爆料
用户性别,男
微博数,22418
粉丝数,3841349
关注数,517
用户主页URL,https://m.weibo.cn/u/5255814135?uid=5255814135&luicode=10000011&lfid=1005055255814135
用户头像URL,"https://tvax3.sinaimg.cn/crop.0.0.1328.1328.180/005JGRlJly8fr9vwkhhxej310w10wq4j.jpg?KID=imgbed,tva&Expires=1577445854&ssig=deTpmIPycC"
用户头像大图URL,https://wx3.sinaimg.cn/orj480/005JGRlJly8fr9vwkhhxej310w10wq4j.jpg
用户简介,"吃瓜路人，合作VX: BAZU8888,微博娱乐资讯博主 微博娱评团成员 知名娱乐博主 娱乐综艺视频自媒体"
