用户id,6090644544
用户昵称,影视猛回头
用户性别,男
微博数,24746
粉丝数,1445514
关注数,222
用户主页URL,https://m.weibo.cn/u/6090644544?uid=6090644544&luicode=10000011&lfid=1005056090644544
用户头像URL,"https://tva2.sinaimg.cn/crop.125.8.594.594.180/006EbISkjw8fb0h9lhfrmj30k00kfdhc.jpg?KID=imgbed,tva&Expires=1577440798&ssig=7B8XQAd668"
用户头像大图URL,https://ww2.sinaimg.cn/orj480/006EbISkjw8fb0h9lhfrmj30k00kfdhc.jpg
用户简介,",微博电影视频自媒体"
